Time;SPINE_BASE;SPINE_MID;NECK;HEAD;SHOULDER_LEFT;ELBOW_LEFT;WRIST_LEFT;HAND_LEFT;SHOULDER_RIGHT;ELBOW_RIGHT;WRIST_RIGHT;HAND_RIGHT;HIP_LEFT;KNEE_LEFT;ANKLE_LEFT;FOOT_LEFT;HIP_RIGHT;KNEE_RIGHT;ANKLE_RIGHT;FOOT_RIGHT;SPINE_SHOULDER;HAND_TIP_LEFT;THUMB_LEFT;HAND_TIP_RIGHT;THUMB_RIGHT
959;-0.104506165,0.34155387,2.4474115;-0.11216395,0.41018337,2.485811;-0.10464815,0.77221256,2.4638379;-0.08548713,0.9233346,2.4352357;-0.25544074,0.6575622,2.4473782;-0.34658086,0.43149376,2.4145033;-0.38479954,0.25322363,2.27069;-0.39610374,0.18125162,2.189804;0.046512317,0.6493751,2.5043924;0.1170105,0.39636195,2.5260482;0.20715556,0.19388834,2.472633;0.2507485,0.10758617,2.4496179;-0.17357744,0.2733386,2.4272015;-0.21278788,-0.1274702,2.3296406;-0.23623134,-0.40930802,2.353011;-0.22155787,-0.4626393,2.271304;-0.033332165,0.26928118,2.4596808;-0.04805769,-0.14222148,2.4521952;-0.07388243,-0.43128234,2.489594;-0.06544537,-0.48927757,2.41334;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
995;-0.103229314,0.34193093,2.447334;-0.110650465,0.4107893,2.4844456;-0.10251758,0.7719782,2.4624658;-0.08355643,0.9225738,2.432782;-0.25368083,0.65707165,2.4448767;-0.34886172,0.43677026,2.4068835;-0.400198,0.26781034,2.2559402;-0.4143248,0.19569696,2.176242;0.048686318,0.64983076,2.5049398;0.13563368,0.40403745,2.5265152;0.24013151,0.20504048,2.4740214;0.275508,0.12216575,2.4520633;-0.1723641,0.27358326,2.4268878;-0.21175225,-0.12608573,2.326233;-0.23534803,-0.40768912,2.3472085;-0.22002928,-0.46028286,2.2648923;-0.03237654,0.26956794,2.4600158;-0.046740223,-0.14222398,2.452914;-0.07379153,-0.43135124,2.4897146;-0.06455277,-0.48933694,2.4135423;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1029;-0.10209308,0.3422896,2.446877;-0.109172195,0.41134453,2.482543;-0.10071206,0.77167743,2.4610252;-0.08205279,0.9217373,2.4302518;-0.25237086,0.6566415,2.4428096;-0.3523996,0.44151837,2.400234;-0.413854,0.2793152,2.2451696;-0.4377555,0.21390349,2.1633892;0.050493833,0.6503073,2.5050125;0.14995858,0.41044667,2.5253997;0.26239908,0.21520936,2.4723272;0.31713736,0.13928357,2.4454885;-0.17128523,0.27386087,2.4261844;-0.21121147,-0.12446392,2.3241546;-0.23429321,-0.40621358,2.3421693;-0.21846125,-0.45782328,2.2591863;-0.031511173,0.26981282,2.4598486;-0.04569582,-0.14222221,2.4534364;-0.073705174,-0.43141595,2.4898345;-0.063866004,-0.48939893,2.4137099;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1059;-0.10105111,0.34266132,2.4455502;-0.10777691,0.41182068,2.4796467;-0.09919551,0.77128214,2.459257;-0.08100694,0.92097783,2.4279382;-0.25145966,0.6562889,2.4410746;-0.35766423,0.44542387,2.393743;-0.428007,0.28923,2.2354202;-0.4623254,0.23037617,2.1511385;0.052179433,0.6507596,2.5044274;0.1652325,0.41874352,2.522231;0.29559064,0.22831754,2.4631732;0.349265,0.1562522,2.4392483;-0.1703651,0.2741571,2.4246469;-0.21112798,-0.12243771,2.3234258;-0.23346418,-0.40518293,2.3387249;-0.21735178,-0.4560357,2.2552817;-0.03069031,0.2699861,2.45837;-0.04488479,-0.14221653,2.453736;-0.07362232,-0.4314774,2.4899497;-0.063368104,-0.48947328,2.4138474;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1095;-0.10027182,0.34301487,2.4428453;-0.10674336,0.4121309,2.4756045;-0.09826815,0.7706828,2.4569404;-0.0804901,0.9199996,2.425242;-0.25093764,0.65599585,2.4395964;-0.3652355,0.44943056,2.3871026;-0.4438634,0.298903,2.226855;-0.47981608,0.24072802,2.142164;0.053713042,0.650978,2.5031345;0.17700408,0.42506272,2.518723;0.31814688,0.23852111,2.454496;0.37615168,0.17140418,2.4288325;-0.16974407,0.27438596,2.4215915;-0.21131206,-0.12056503,2.3236926;-0.23274854,-0.40443948,2.3363695;-0.21648553,-0.4547534,2.252639;-0.030095946,0.26993445,2.4550638;-0.04410354,-0.14203075,2.4537027;-0.073546916,-0.43154204,2.490053;-0.06300869,-0.48958525,2.413971;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1128;-0.099974334,0.34347916,2.4387805;-0.10622474,0.41238046,2.4708748;-0.097909845,0.76993597,2.4542985;-0.080536835,0.9190715,2.4226563;-0.25079733,0.65579224,2.4382384;-0.3741112,0.45373136,2.3808396;-0.46072343,0.30916408,2.219388;-0.49680716,0.25028804,2.1367111;0.05494304,0.6508914,2.5009646;0.1877467,0.43063366,2.5133798;0.33981496,0.2504011,2.442686;0.39778727,0.18671949,2.4168;-0.16966335,0.27472737,2.4167235;-0.21168599,-0.11896553,2.324488;-0.23210049,-0.40393206,2.334794;-0.2158271,-0.45389417,2.2508686;-0.029954799,0.26983294,2.4504635;-0.04332273,-0.14157824,2.4530098;-0.073481224,-0.43158796,2.4900937;-0.06274497,-0.4897042,2.414022;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1160;-0.100191176,0.3440976,2.4341323;-0.106191136,0.41265708,2.4663258;-0.09810448,0.7692596,2.4518013;-0.0813651,0.91806155,2.419833;-0.2511496,0.6557487,2.4368904;-0.3828492,0.45722377,2.3760743;-0.47200128,0.31529674,2.2150903;-0.50856274,0.25733003,2.1349216;0.055841144,0.6506799,2.4977112;0.19690275,0.4351543,2.505635;0.3529452,0.26257512,2.4312212;0.41804937,0.2034498,2.3980355;-0.17013007,0.27523106,2.411197;-0.21212782,-0.11768681,2.325516;-0.23152833,-0.40356964,2.3337655;-0.21536432,-0.45325264,2.2496626;-0.030214818,0.26978752,2.4452653;-0.04268758,-0.14100009,2.451353;-0.07335282,-0.43160963,2.489915;-0.06254196,-0.48983952,2.4138336;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1195;-0.10115729,0.34471923,2.4289532;-0.10681338,0.41287383,2.461663;-0.09908956,0.7684422,2.4487956;-0.083636716,0.91680866,2.4163065;-0.2524176,0.65588504,2.4353313;-0.39075544,0.46007368,2.3729506;-0.48005673,0.3193158,2.2126815;-0.5172595,0.26234478,2.1343303;0.056137837,0.6507695,2.4934046;0.20435157,0.4391089,2.494322;0.35947043,0.274378,2.4183455;0.42670175,0.21412684,2.3851557;-0.17131852,0.2757343,2.4056206;-0.21265033,-0.1166762,2.3266625;-0.23114057,-0.40329915,2.3330941;-0.2151721,-0.4527368,2.2489018;-0.031191494,0.26961297,2.439343;-0.042389262,-0.14035197,2.4482934;-0.073126435,-0.4315575,2.4890015;-0.06245393,-0.49001998,2.4128718;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1229;-0.10262279,0.34517315,2.4240208;-0.10783474,0.41295964,2.4574642;-0.10042115,0.76766104,2.445861;-0.088336736,0.9151458,2.4115398;-0.25450677,0.6561244,2.4336908;-0.3967027,0.4620266,2.3712096;-0.4856745,0.32187766,2.2114494;-0.52270526,0.26542038,2.1341982;0.055860855,0.6515166,2.4884021;0.20913436,0.44212133,2.481336;0.3584827,0.28449136,2.3993921;0.4221255,0.2239556,2.3556204;-0.1729067,0.27597472,2.4008687;-0.21341522,-0.115870304,2.3279793;-0.23090425,-0.4031201,2.3328333;-0.20315957,-0.46813554,2.3212163;-0.032792386,0.2694286,2.4332054;-0.042725995,-0.13985533,2.4438667;-0.07284283,-0.43124717,2.4867864;-0.06258856,-0.4900507,2.4105752;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1259;-0.104431175,0.3456108,2.4195817;-0.10917282,0.41308784,2.4536057;-0.10285859,0.7667256,2.441914;-0.09383782,0.9136496,2.4067035;-0.25745285,0.6565074,2.4320438;-0.40069342,0.46317238,2.370352;-0.48945642,0.32340154,2.2109885;-0.526028,0.26703265,2.1350293;0.054693528,0.65294355,2.48125;0.21102144,0.4442372,2.4688926;0.34789366,0.29052132,2.372851;0.402239,0.23128387,2.3225896;-0.17462687,0.27615878,2.3971343;-0.21473321,-0.11513138,2.3298;-0.23084326,-0.40303692,2.3331385;-0.19768049,-0.47709095,2.3628526;-0.034649413,0.2693861,2.427646;-0.043371003,-0.13944894,2.4395633;-0.072669804,-0.43078333,2.48387;-0.063301824,-0.48985398,2.4073129;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
