Time;SPINE_BASE;SPINE_MID;NECK;HEAD;SHOULDER_LEFT;ELBOW_LEFT;WRIST_LEFT;HAND_LEFT;SHOULDER_RIGHT;ELBOW_RIGHT;WRIST_RIGHT;HAND_RIGHT;HIP_LEFT;KNEE_LEFT;ANKLE_LEFT;FOOT_LEFT;HIP_RIGHT;KNEE_RIGHT;ANKLE_RIGHT;FOOT_RIGHT;SPINE_SHOULDER;HAND_TIP_LEFT;THUMB_LEFT;HAND_TIP_RIGHT;THUMB_RIGHT
1012;-0.1736029,0.3350985,2.4409068;-0.1733004,0.4044189,2.428729;-0.16667962,0.7489644,2.3747096;-0.15681721,0.9178167,2.2994895;-0.32524243,0.6489635,2.4063973;-0.3878267,0.38640675,2.4226425;-0.39666533,0.16222475,2.3522727;-0.3877631,0.10027489,2.3260005;-0.013980243,0.64734036,2.4195318;0.03420324,0.37023765,2.420191;0.055747353,0.14339954,2.3474236;0.048602037,0.07078675,2.3275468;-0.2435487,0.2644452,2.444446;-0.29339215,-0.12492067,2.442358;-0.32805666,-0.42451808,2.4424424;-0.32823193,-0.47621667,2.361255;-0.10389916,0.26581082,2.4546664;-0.086593635,-0.11710447,2.4853904;-0.092633106,-0.4249804,2.4798186;-0.08903142,-0.4758324,2.3975675;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1050;-0.16885765,0.33456257,2.4424698;-0.1680175,0.4037392,2.4296527;-0.16130772,0.74810857,2.3734598;-0.1510045,0.916872,2.2985046;-0.31946534,0.6491558,2.406492;-0.38038793,0.38513345,2.425161;-0.39020544,0.16014121,2.3567128;-0.38150162,0.10002465,2.3307085;-0.008214023,0.64564973,2.4173725;0.03841318,0.36797574,2.4200327;0.059782594,0.1378695,2.3558743;0.052480865,0.06333541,2.3403406;-0.23980367,0.26424038,2.446631;-0.2915848,-0.12478555,2.4446297;-0.3261916,-0.42464897,2.445559;-0.3272143,-0.47643334,2.3644967;-0.09923459,0.26523468,2.4563203;-0.084949434,-0.116901256,2.487207;-0.09131747,-0.42450827,2.4815683;-0.08835979,-0.4754162,2.3994079;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1081;-0.1647039,0.33407286,2.4434137;-0.16340744,0.4031299,2.4301944;-0.15619001,0.7473068,2.3731008;-0.14600517,0.9161616,2.2986155;-0.31476897,0.6495373,2.4070902;-0.37363052,0.38483554,2.4278688;-0.3847028,0.15922378,2.3605247;-0.3762769,0.100102246,2.3342896;-0.002499462,0.6437233,2.4156022;0.04193179,0.36643574,2.4199665;0.062703915,0.1344314,2.362527;0.05525545,0.0586513,2.3497863;-0.23662117,0.26401198,2.4480333;-0.28975183,-0.124681905,2.4461856;-0.32250512,-0.4253404,2.4497182;-0.32459635,-0.47735527,2.3689084;-0.09494679,0.2645608,2.457201;-0.08317094,-0.11675693,2.4882765;-0.090254284,-0.42409405,2.482808;-0.08790871,-0.47507045,2.4006963;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1113;-0.16092885,0.33381188,2.4438388;-0.1592773,0.40279642,2.4304247;-0.15101781,0.7469182,2.3736706;-0.14229792,0.9158334,2.2992032;-0.31073794,0.65021455,2.408394;-0.36803907,0.38504115,2.4305003;-0.3800453,0.15899062,2.3636165;-0.37203583,0.10038539,2.3369758;0.0025305846,0.64220846,2.414414;0.045123693,0.3656998,2.4200492;0.06482509,0.13272971,2.3678343;0.05785926,0.055641983,2.3573382;-0.23375145,0.26387605,2.4488196;-0.28719062,-0.12452087,2.446915;-0.31728968,-0.4255626,2.4536796;-0.3206387,-0.477911,2.3730977;-0.09096324,0.2640239,2.4573672;-0.0806378,-0.11662481,2.4881516;-0.08937099,-0.4237537,2.4836;-0.08760353,-0.47483286,2.4015272;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1148;-0.15716772,0.3339127,2.4437764;-0.15536451,0.40285665,2.4303832;-0.14630692,0.7471422,2.3748853;-0.13938247,0.91592395,2.3001015;-0.30738893,0.6510241,2.4101794;-0.36361092,0.38548124,2.4328556;-0.37633732,0.15913011,2.3660166;-0.36815622,0.101206236,2.339418;0.006452092,0.64125735,2.4136963;0.048111457,0.36538726,2.4202516;0.06672086,0.13190004,2.3721328;0.060668964,0.053296212,2.3631902;-0.23071751,0.2639649,2.4489489;-0.2839563,-0.12446711,2.4467397;-0.31032926,-0.42604768,2.4571743;-0.3147399,-0.47879764,2.3769376;-0.08686229,0.2638255,2.4568586;-0.077256836,-0.116308115,2.4862154;-0.088506974,-0.4233523,2.4839163;-0.0873917,-0.47458112,2.402034;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1181;-0.15353094,0.3343138,2.443317;-0.15169264,0.40322378,2.430125;-0.141827,0.7478142,2.3766649;-0.13653956,0.9166946,2.3019452;-0.3041946,0.65230244,2.4128346;-0.3601956,0.38613316,2.4349537;-0.37349874,0.15956475,2.367871;-0.36484918,0.10244527,2.341484;0.009601533,0.640751,2.4132943;0.051184062,0.3655704,2.4204917;0.06832532,0.1317546,2.3754816;0.06284076,0.051793396,2.3670206;-0.22755308,0.26428694,2.4485273;-0.27987695,-0.124553934,2.4454381;-0.30013248,-0.42479816,2.4585967;-0.30537823,-0.4779407,2.378715;-0.08289152,0.26397696,2.4557626;-0.073321775,-0.11610561,2.4821343;-0.087522835,-0.42299283,2.483488;-0.08728489,-0.4743338,2.4019656;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1214;-0.15056007,0.33477604,2.44269;-0.14871329,0.40366808,2.4297807;-0.13755025,0.7488519,2.3790522;-0.13400212,0.9180413,2.3046513;-0.30105567,0.65399545,2.4162009;-0.35748094,0.38703042,2.4368439;-0.37131122,0.1603076,2.3692944;-0.36225262,0.10387322,2.3430996;0.01231673,0.64048934,2.4130986;0.054958183,0.3663464,2.420537;0.06974149,0.13211414,2.37796;0.06527201,0.051749866,2.3697548;-0.22472283,0.26479086,2.4477708;-0.27520248,-0.124725275,2.4429843;-0.29128328,-0.42369664,2.4582822;-0.29726678,-0.4770695,2.3786426;-0.07970765,0.26414612,2.4544246;-0.06945498,-0.11595693,2.4754844;-0.08670072,-0.42276293,2.4823472;-0.08754232,-0.47422075,2.4011526;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1248;-0.14812928,0.33531362,2.441939;-0.14627732,0.40418476,2.429367;-0.13376386,0.74995255,2.3815088;-0.13140145,0.9200937,2.3084753;-0.29831916,0.65588015,2.4199119;-0.3553797,0.38800827,2.4385092;-0.36968392,0.16121347,2.3703537;-0.3603799,0.10526116,2.344166;0.014752178,0.6404904,2.41302;0.058512192,0.36733103,2.420446;0.071785875,0.1331039,2.3796628;0.068915226,0.053795822,2.3706708;-0.22241774,0.2653468,2.4468815;-0.27106097,-0.12498528,2.4399598;-0.2817914,-0.42255545,2.4558733;-0.28802726,-0.4759335,2.3762507;-0.07710548,0.26441383,2.4528704;-0.06643182,-0.11629623,2.4677904;-0.086068615,-0.42290488,2.479847;-0.0884207,-0.47449893,2.39887;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1279;-0.1461702,0.33587152,2.4411316;-0.14434095,0.4047083,2.4289405;-0.1306812,0.751022,2.3839393;-0.12951246,0.9219707,2.3121002;-0.29624748,0.6574946,2.4232287;-0.3537758,0.38912266,2.4401112;-0.3684943,0.1623918,2.3711183;-0.3592339,0.10723455,2.3446374;0.0169285,0.6405769,2.4129825;0.06193597,0.36844686,2.4202871;0.07451171,0.13468799,2.3803256;0.07431563,0.061311293,2.3661015;-0.22055347,0.26593223,2.4459305;-0.26717755,-0.12519842,2.4360712;-0.2730373,-0.4215419,2.4521327;-0.2792719,-0.47481307,2.3723915;-0.07494584,0.26469007,2.4510646;-0.06445777,-0.11766958,2.4604344;-0.08611985,-0.42334783,2.4758215;-0.09040525,-0.47505468,2.3948004;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1312;-0.14456446,0.33649665,2.4402308;-0.14276798,0.4052787,2.4284747;-0.1282154,0.75209194,2.3861885;-0.12816246,0.9225762,2.3166177;-0.29474515,0.6587436,2.425925;-0.35254046,0.39129514,2.442473;-0.3678554,0.16556352,2.3709624;-0.36223677,0.11205064,2.3369129;0.018789826,0.6406915,2.4129708;0.06533363,0.3699182,2.4203322;0.07822342,0.13762718,2.3786578;0.0821437,0.082402445,2.3466973;-0.21903037,0.266602,2.444854;-0.26302263,-0.12551267,2.4312286;-0.2661801,-0.42109552,2.447717;-0.2725272,-0.47418958,2.3678734;-0.0731882,0.26503557,2.4490726;-0.06361484,-0.11928138,2.4536347;-0.08649305,-0.42395976,2.4708998;-0.09254055,-0.47571188,2.3899145;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
