Time;SPINE_BASE;SPINE_MID;NECK;HEAD;SHOULDER_LEFT;ELBOW_LEFT;WRIST_LEFT;HAND_LEFT;SHOULDER_RIGHT;ELBOW_RIGHT;WRIST_RIGHT;HAND_RIGHT;HIP_LEFT;KNEE_LEFT;ANKLE_LEFT;FOOT_LEFT;HIP_RIGHT;KNEE_RIGHT;ANKLE_RIGHT;FOOT_RIGHT;SPINE_SHOULDER;HAND_TIP_LEFT;THUMB_LEFT;HAND_TIP_RIGHT;THUMB_RIGHT
17633;-0.26197335,0.23452911,2.0439632;-0.25242847,0.30232042,2.1002393;-0.2747821,0.6811625,2.0869205;-0.31632876,0.87116945,2.0227547;-0.4500443,0.5609085,2.1331575;-0.59280133,0.38516834,2.1049001;-0.72254866,0.5136884,1.9812452;-0.73822737,0.558457,1.9427295;-0.13780776,0.5520909,2.0603573;0.031321738,0.42839718,1.8888602;-0.008159669,0.5457597,1.7123336;-0.031535275,0.581963,1.7013868;-0.33220452,0.1594047,2.040881;-0.323009,-0.32967845,2.0797796;-0.27605453,-0.7193372,2.1033769;-0.32897523,-0.78782517,2.0508375;-0.18909581,0.16384764,2.0262024;-0.16091856,-0.355661,2.0453496;-0.13476974,-0.7242556,2.0941708;-0.12421631,-0.7940601,2.0559618;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
17663;-0.2622668,0.23457105,2.0435634;-0.25278392,0.30232942,2.0997453;-0.27497497,0.68094146,2.0862513;-0.3166328,0.870502,2.0220208;-0.45008388,0.56084293,2.1330633;-0.6221156,0.41305867,2.0820177;-0.78190035,0.49129197,1.9496931;-0.8113395,0.5330905,1.9009293;-0.13318221,0.55917126,2.061281;0.03428971,0.43915132,1.8395755;0.036252093,0.5166691,1.6297705;0.020628657,0.5493441,1.6071293;-0.33236888,0.1597508,2.0404615;-0.32303074,-0.32966125,2.0797424;-0.27611548,-0.71930766,2.1033676;-0.3288378,-0.7877566,2.0508559;-0.1894466,0.16382496,2.0260255;-0.16094327,-0.35553294,2.0451052;-0.13516639,-0.7243774,2.094195;-0.124576375,-0.7943232,2.056652;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
17708;-0.26251313,0.2346534,2.0432642;-0.2530425,0.3023494,2.0994086;-0.27504265,0.680837,2.0862164;-0.3169307,0.869952,2.021562;-0.45016602,0.5609868,2.1330473;-0.63405466,0.42481408,2.0717847;-0.8145608,0.47062814,1.9307222;-0.85657597,0.5039478,1.8745053;-0.12995172,0.5642114,2.0618417;0.03398751,0.44549742,1.8173136;0.07050874,0.47764626,1.582679;0.066702485,0.5084842,1.5360402;-0.33252886,0.16005808,2.0401073;-0.32305548,-0.32965177,2.079701;-0.27616623,-0.7192771,2.1033516;-0.32869217,-0.78769493,2.050888;-0.18972845,0.16387914,2.0259025;-0.16101061,-0.35518423,2.0448227;-0.13563524,-0.7245206,2.0942335;-0.12478331,-0.7945029,2.0571117;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
17740;-0.26273173,0.23474412,2.0430374;-0.25324866,0.30236828,2.0991669;-0.2750163,0.68091375,2.0868745;-0.31715584,0.86953604,2.021292;-0.4502269,0.56118363,2.1330233;-0.64098734,0.43126503,2.06612;-0.82549757,0.46236715,1.9232931;-0.8575749,0.49183565,1.8722124;-0.12775923,0.5676985,2.0619547;0.033837516,0.4491319,1.8044775;0.077062145,0.4647105,1.5767415;0.073045924,0.49450934,1.5337112;-0.33269948,0.1603188,2.039808;-0.32309642,-0.32965377,2.079648;-0.27621058,-0.71924824,2.1033297;-0.3285925,-0.78764886,2.0509217;-0.18996374,0.16396923,2.025822;-0.16106424,-0.35504276,2.0446289;-0.13634923,-0.72464573,2.0942564;-0.12501512,-0.79466426,2.0576131;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
17765;-0.26291418,0.2348379,2.042858;-0.25341126,0.30239075,2.0989835;-0.2749639,0.6810922,2.0877357;-0.31732777,0.86922807,2.0211322;-0.4502526,0.5613617,2.1328554;-0.64547,0.4237008,2.0610359;-0.8235879,0.45890683,1.9181426;-0.8449239,0.4855147,1.8732173;-0.12600794,0.57050306,2.0615141;0.032452427,0.44961047,1.7978667;0.0756246,0.46187544,1.5762703;0.060656317,0.49553433,1.5531164;-0.33286038,0.16053474,2.0395372;-0.3231498,-0.32965553,2.0795822;-0.2762627,-0.71922016,2.1033046;-0.32850897,-0.7876078,2.0509472;-0.1901377,0.16407175,2.025772;-0.16113266,-0.35462323,2.044271;-0.13699844,-0.72473645,2.0942807;-0.12520395,-0.7947913,2.0580544;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
17792;-0.26307964,0.23493454,2.0427084;-0.25356284,0.30242515,2.0988371;-0.2749761,0.6813212,2.0884576;-0.3174588,0.8690355,2.0210688;-0.45031467,0.56150126,2.1324825;-0.61426693,0.39902204,2.0720415;-0.77106595,0.45855328,1.9351449;-0.7929764,0.4922034,1.8930972;-0.12471201,0.57250255,2.0609624;0.03017063,0.42908657,1.8176783;0.041879356,0.4868595,1.6139646;0.027061103,0.51462924,1.6064308;-0.33305964,0.16070288,2.0392606;-0.32320797,-0.32965586,2.0795143;-0.27633864,-0.7191897,2.103271;-0.32843027,-0.7875689,2.0509703;-0.19027214,0.16418195,2.0257406;-0.16118035,-0.35441893,2.0440457;-0.1377856,-0.7248784,2.0943315;-0.12533936,-0.79489124,2.0584;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
17827;-0.2632268,0.23504159,2.0425467;-0.25371763,0.302492,2.0986772;-0.27501988,0.6814241,2.0886824;-0.3175917,0.86908233,2.021256;-0.45046937,0.56150824,2.1317575;-0.590785,0.37387922,2.0860991;-0.72862315,0.4720288,1.9446647;-0.739,0.49908218,1.9170817;-0.123826414,0.5738947,2.0604408;0.024005529,0.40711108,1.862674;0.0036606616,0.505662,1.6740024;-0.013199639,0.5351607,1.6660376;-0.33326876,0.16083036,2.0389395;-0.32328254,-0.32965925,2.0794373;-0.27641138,-0.7191672,2.1032343;-0.32843348,-0.78757614,2.0511699;-0.19036159,0.16431116,2.0256991;-0.16126569,-0.35402936,2.043704;-0.13859017,-0.725037,2.094386;-0.12543485,-0.7949606,2.0586584;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
17879;-0.26340243,0.23510572,2.0422547;-0.2539109,0.30255795,2.0983748;-0.2750674,0.68159765,2.088653;-0.31780827,0.86945283,2.021622;-0.45066413,0.5611137,2.1302874;-0.5583572,0.34422314,2.1176434;-0.6637561,0.47623515,1.9747713;-0.6689938,0.51099485,1.9538201;-0.12380791,0.5742457,2.0594788;0.013323249,0.39210784,1.9193383;-0.038537048,0.52331454,1.7444491;-0.057293463,0.55668145,1.7431889;-0.3335327,0.16087203,2.0384347;-0.32339582,-0.32965934,2.0793397;-0.27648208,-0.7191453,2.1031964;-0.32845578,-0.7875917,2.0513785;-0.19044302,0.16443245,2.025621;-0.16150063,-0.35332617,2.0431793;-0.13942716,-0.72520846,2.0944164;-0.1255041,-0.79500926,2.0588608;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
17898;-0.2639161,0.23467305,2.0413277;-0.25430492,0.30230656,2.097497;-0.27516317,0.6818366,2.0879939;-0.31828445,0.8699833,2.0221047;-0.45095867,0.56048805,2.1285965;-0.54037356,0.3285014,2.1333237;-0.61035454,0.49037752,2.002087;-0.6080486,0.5243178,1.987798;-0.12973675,0.56818455,2.0556188;0.011167263,0.37197256,1.9802308;-0.07332322,0.5257877,1.828606;-0.09920177,0.57250136,1.8209326;-0.33400947,0.16056278,2.0375369;-0.32352915,-0.32965824,2.079234;-0.27659985,-0.71910816,2.1031322;-0.32846308,-0.7875965,2.051563;-0.19074269,0.16444434,2.0252514;-0.16195564,-0.3522078,2.0423906;-0.140237,-0.72537863,2.0944538;-0.12554635,-0.7950413,2.0590005;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
17923;-0.2650749,0.23293905,2.0393145;-0.25505614,0.30116463,2.0955908;-0.27523044,0.68195593,2.0861197;-0.31884763,0.8704415,2.0224364;-0.45157954,0.55905676,2.1260033;-0.5244001,0.3196133,2.140852;-0.5791271,0.49938667,2.0213366;-0.5738696,0.53398836,2.0090406;-0.14023525,0.55801994,2.0496259;0.007927401,0.35645548,2.0243795;-0.10672033,0.5374455,1.8915832;-0.12212351,0.5725899,1.8718408;-0.3347834,0.15963075,2.0361166;-0.32368922,-0.32965755,2.0791063;-0.27676836,-0.71904105,2.1030514;-0.32847404,-0.7876023,2.051747;-0.19178046,0.16387689,2.024133;-0.1622679,-0.35195464,2.041891;-0.14099103,-0.72552055,2.0944834;-0.12555072,-0.79505384,2.0590937;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
