Time;SPINE_BASE;SPINE_MID;NECK;HEAD;SHOULDER_LEFT;ELBOW_LEFT;WRIST_LEFT;HAND_LEFT;SHOULDER_RIGHT;ELBOW_RIGHT;WRIST_RIGHT;HAND_RIGHT;HIP_LEFT;KNEE_LEFT;ANKLE_LEFT;FOOT_LEFT;HIP_RIGHT;KNEE_RIGHT;ANKLE_RIGHT;FOOT_RIGHT;SPINE_SHOULDER;HAND_TIP_LEFT;THUMB_LEFT;HAND_TIP_RIGHT;THUMB_RIGHT
932;-0.0984328,0.30038208,2.1115048;-0.09766254,0.3711097,2.1167636;-0.0939644,0.7287737,2.1148517;-0.07870264,0.89617723,2.0564609;-0.2677496,0.6150064,2.1278598;-0.33447742,0.4341746,2.1426544;-0.2850972,0.28587508,2.0613754;-0.27385145,0.22714575,2.033337;0.061064966,0.619771,2.1464705;0.1018829,0.45874113,2.160841;0.1354438,0.37897912,1.9635545;0.14408976,0.4128105,1.8593955;-0.1661218,0.22795774,2.0991037;-0.19403571,-0.17456898,2.0688536;-0.1941594,-0.3863242,2.0746653;-0.21019088,-0.37426576,2.0507474;-0.027735492,0.22661322,2.1053445;-0.010004244,-0.20729224,2.0340376;-0.02802218,-0.41568053,2.0262945;-0.014607855,-0.36150318,1.9991621;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
965;-0.0996228,0.29664278,2.1054733;-0.098852366,0.3675842,2.1121294;-0.09830763,0.7148536,2.1076503;-0.094637774,0.8929967,2.060538;-0.27091417,0.61402524,2.136786;-0.33314523,0.43433166,2.1507552;-0.26974976,0.28724295,2.0812542;-0.24205628,0.23577438,2.0649123;0.056081574,0.61863905,2.1320188;0.08960892,0.46119976,2.1511335;0.12724438,0.38401008,1.9517964;0.124513924,0.42709687,1.8446157;-0.16776317,0.2260858,2.0977411;-0.19895896,-0.18935129,2.0675316;-0.19610079,-0.40705574,2.0746996;-0.1995789,-0.34299773,2.0686474;-0.028374765,0.22240788,2.0966423;0.0059594205,-0.19579762,1.9975718;-2.7252734E-4,-0.40960285,1.9684577;0.0033158734,-0.39176416,1.9141139;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1001;-0.10054712,0.29239106,2.099734;-0.09950862,0.3639169,2.108028;-0.10018452,0.7092347,2.1040041;-0.10791581,0.89028716,2.0623345;-0.2732512,0.61113703,2.1484141;-0.32977515,0.43348005,2.1594415;-0.25886562,0.28714374,2.095898;-0.22701176,0.23871659,2.0826538;0.049428847,0.6166756,2.1157556;0.07825784,0.46138582,2.1409202;0.100940675,0.4079039,1.9045895;0.09450056,0.44132563,1.8200401;-0.16914767,0.22341518,2.0962627;-0.20139953,-0.19703192,2.0668302;-0.19684753,-0.4179396,2.0744946;-0.19542529,-0.33233982,2.0756466;-0.029194811,0.21803725,2.087979;0.014655502,-0.18658802,1.9756026;0.017155122,-0.40345225,1.9349114;0.008452193,-0.3466653,1.9702096;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1032;-0.10096456,0.28864434,2.0949354;-0.099460766,0.3605292,2.1045408;-0.100415476,0.7062311,2.1015618;-0.121319726,0.88714594,2.0633678;-0.2736632,0.60938334,2.1572618;-0.32472742,0.43193722,2.1675024;-0.250024,0.286577,2.1050522;-0.21726695,0.23997132,2.0924776;0.046307135,0.6142162,2.1011207;0.10838288,0.4204325,2.0404117;0.08075949,0.41693443,1.8365186;0.07200929,0.4453619,1.7997496;-0.1701686,0.22064643,2.094993;-0.20287594,-0.2017853,2.0664;-0.19714579,-0.42474538,2.074396;-0.19196764,-0.32724038,2.079024;-0.029706236,0.21394505,2.079554;0.019793015,-0.18000513,1.9621497;0.027216759,-0.40087336,1.9182637;0.017945409,-0.33252764,1.9551512;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1063;-0.10085341,0.28587964,2.0910046;-0.09863627,0.35775724,2.101448;-0.09901545,0.7042007,2.0989702;-0.1321496,0.88455164,2.0645435;-0.27192247,0.60890293,2.1660175;-0.31728205,0.43061554,2.17524;-0.23784977,0.28797948,2.1101992;-0.20463496,0.24306409,2.0966706;0.045982156,0.61340034,2.0870302;0.12317112,0.40313375,1.9913889;0.07149991,0.41670066,1.8025229;0.05254218,0.4425195,1.7760118;-0.17081356,0.21835363,2.0940254;-0.2035931,-0.20508039,2.0662084;-0.19723444,-0.42942902,2.074442;-0.18795651,-0.32712913,2.0798645;-0.02949899,0.21116446,2.071911;0.023088705,-0.17515951,1.9536607;0.037694063,-0.39787987,1.9095765;0.019750869,-0.32297796,1.9558663;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1099;-0.10000924,0.28437477,2.0872457;-0.09658188,0.35606036,2.098108;-0.09520253,0.7039765,2.0955155;-0.14129966,0.8824554,2.0658107;-0.25226095,0.6276486,2.1831036;-0.2834089,0.46112216,2.217985;-0.2592867,0.32936028,2.1136062;-0.24793807,0.28770027,2.0853832;0.04908283,0.6133839,2.069356;0.14537004,0.39699906,1.9417411;0.0650912,0.4093197,1.7755314;0.03952782,0.4337088,1.7512097;-0.17076598,0.21701784,2.093186;-0.1957116,-0.1915631,2.0688112;-0.19474444,-0.42155075,2.0742662;-0.1531074,-0.33489704,2.0914516;-0.02904963,0.21039994,2.0654447;0.025521057,-0.16997764,1.9486791;0.04882549,-0.3928144,1.9116709;0.021270603,-0.31693795,1.9548261;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1131;-0.09671299,0.28405473,2.081713;-0.09110692,0.35545003,2.0928586;-0.08813175,0.7058192,2.0906806;-0.14949381,0.8805017,2.0677273;-0.24372694,0.6296722,2.1952255;-0.26786172,0.46971184,2.2387977;-0.26012632,0.3462146,2.1102202;-0.25667715,0.31305978,2.0681078;0.05857822,0.615507,2.048497;0.15548342,0.39459276,1.9195281;0.060398307,0.40355358,1.7501429;0.029911688,0.41792926,1.7188783;-0.16876218,0.21582954,2.0908794;-0.19007051,-0.18181697,2.0710323;-0.191559,-0.41364953,2.075729;-0.13858815,-0.33591503,2.0903165;-0.027049825,0.21090995,2.059166;0.027352385,-0.1656376,1.9467762;0.058568157,-0.38885123,1.9197987;0.023524517,-0.3128319,1.9484047;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1164;-0.09221323,0.28388086,2.075955;-0.084485464,0.35510197,2.0875125;-0.080669366,0.7086938,2.0856156;-0.15561886,0.8791436,2.0698183;-0.23581329,0.62780666,2.2032797;-0.24669401,0.47564182,2.2658849;-0.2597952,0.3561867,2.1087735;-0.2607013,0.32596615,2.059415;0.065494046,0.6167391,2.0340953;0.1622986,0.39734557,1.9040332;0.05901309,0.39934936,1.7372963;0.02402716,0.3935211,1.6901827;-0.16493984,0.2145561,2.088074;-0.1829347,-0.18425526,2.0757957;-0.18948941,-0.4153991,2.0777435;-0.1413504,-0.34237343,2.0890653;-0.023597479,0.21189404,2.052015;0.029341621,-0.16384861,1.9480364;0.081976555,-0.38776946,1.9432768;0.028398901,-0.32130736,1.9413551;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1199;-0.08663833,0.28332025,2.0698934;-0.076788805,0.35435718,2.0818007;-0.072982,0.7109196,2.0801406;-0.15916918,0.8782981,2.071677;-0.22664589,0.62815285,2.2082493;-0.22712187,0.48283628,2.2804182;-0.25501418,0.36422807,2.108272;-0.2598137,0.3340267,2.0552967;0.07058538,0.617249,2.022104;0.16511089,0.41172174,1.8931823;0.06640363,0.3764801,1.7251302;0.02255331,0.35684195,1.6661699;-0.15757228,0.21323201,2.0837836;-0.17755501,-0.18691535,2.0791836;-0.18493146,-0.41872188,2.0807817;-0.15105623,-0.3488629,2.0857759;-0.020362034,0.21263225,2.046003;0.038737662,-0.18558472,1.9646925;0.09683295,-0.39969355,1.9552704;0.04177832,-0.33882385,1.94235;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1232;-0.07743945,0.27671602,2.0614007;-0.06589361,0.3489382,2.0741594;-0.064044274,0.7123719,2.0735083;-0.16046111,0.8771349,2.0766397;-0.21353799,0.62841946,2.2121525;-0.21387573,0.4866211,2.2876046;-0.24679892,0.36977986,2.1079776;-0.25363746,0.33879396,2.0526388;0.075271115,0.6155059,2.0096152;0.1660685,0.42166838,1.8862593;0.07606156,0.34018946,1.7110263;0.022157634,0.30946684,1.6422324;-0.14657131,0.2079167,2.07895;-0.1710461,-0.19113798,2.0821886;-0.18106695,-0.42305672,2.0832946;-0.15636429,-0.35412323,2.0837162;-0.015283869,0.2090766,2.0374107;0.04357265,-0.19710706,1.9736863;0.10775056,-0.40956837,1.9651984;0.06164667,-0.35455325,1.9500227;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
