Time;SPINE_BASE;SPINE_MID;NECK;HEAD;SHOULDER_LEFT;ELBOW_LEFT;WRIST_LEFT;HAND_LEFT;SHOULDER_RIGHT;ELBOW_RIGHT;WRIST_RIGHT;HAND_RIGHT;HIP_LEFT;KNEE_LEFT;ANKLE_LEFT;FOOT_LEFT;HIP_RIGHT;KNEE_RIGHT;ANKLE_RIGHT;FOOT_RIGHT;SPINE_SHOULDER;HAND_TIP_LEFT;THUMB_LEFT;HAND_TIP_RIGHT;THUMB_RIGHT
934;-0.40611446,0.24477984,2.6703677;-0.40289047,0.3092826,2.7324717;-0.39495355,0.6965512,2.7464795;-0.37600568,0.8834842,2.753329;-0.551484,0.5629418,2.7080328;-0.6462197,0.360678,2.6743064;-0.66472465,0.53835183,2.5178623;-0.64735144,0.57479775,2.507005;-0.24582018,0.584459,2.7061296;-0.18366578,0.3391241,2.6519716;-0.24957417,0.54419017,2.479678;-0.28994167,0.57459724,2.4800076;-0.47831511,0.17184705,2.6598194;-0.4425287,-0.4091291,2.6765177;-0.38014475,-0.8054303,2.6373434;-0.3767809,-0.87053216,2.5955396;-0.34058028,0.18287563,2.6550367;-0.3729475,-0.44064438,2.6211245;-0.3457485,-0.7939081,2.6646638;-0.37835464,-0.8542308,2.618385;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
971;-0.4067471,0.2450384,2.670542;-0.40320182,0.30957246,2.7325158;-0.39694902,0.69712067,2.7455654;-0.3778131,0.8841048,2.7517602;-0.5535703,0.56256217,2.7084541;-0.6458539,0.36362168,2.669299;-0.6537524,0.55191,2.5241525;-0.6438332,0.5809183,2.5139334;-0.24543954,0.583184,2.701587;-0.18348745,0.34222516,2.6432946;-0.2506771,0.5533913,2.4839525;-0.29204893,0.58554024,2.4827175;-0.47974694,0.17172785,2.6612117;-0.4421318,-0.4089885,2.6770937;-0.3810146,-0.80325955,2.6384645;-0.38072228,-0.86505604,2.5995;-0.3407839,0.1825527,2.6547265;-0.37426785,-0.43956202,2.623933;-0.34466356,-0.7936368,2.668965;-0.38004717,-0.85200185,2.6223202;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1003;-0.40730682,0.24525139,2.670705;-0.40348637,0.30983305,2.7325616;-0.3985823,0.6976464,2.7448275;-0.3793198,0.88459915,2.7502632;-0.5554295,0.56223476,2.7088199;-0.6454011,0.36532465,2.6655746;-0.6475684,0.5582739,2.5270467;-0.64071745,0.58360535,2.518226;-0.24493057,0.58196294,2.698295;-0.18445593,0.34336776,2.6325762;-0.2515279,0.55953133,2.4872913;-0.29384956,0.5921403,2.4831986;-0.4809937,0.17162785,2.6624584;-0.4417716,-0.40872422,2.677643;-0.38243872,-0.8006118,2.6403687;-0.3832658,-0.85990864,2.6029115;-0.3409234,0.18207902,2.654358;-0.37516832,-0.43860796,2.626012;-0.34349534,-0.79322594,2.6725945;-0.3785508,-0.84951824,2.6275523;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1033;-0.4077865,0.24541347,2.6708663;-0.40377542,0.31007218,2.7326188;-0.39991194,0.6981965,2.74427;-0.3805024,0.8849835,2.748776;-0.5569244,0.5619842,2.7090998;-0.64438796,0.3658184,2.6626887;-0.64387697,0.533038,2.5138392;-0.63583463,0.5783579,2.5166235;-0.24282481,0.5798048,2.6956778;-0.18507972,0.34395292,2.6259031;-0.28646505,0.5659696,2.4726808;-0.2979871,0.59169966,2.4770045;-0.4821225,0.1713695,2.6636882;-0.4411894,-0.4082181,2.6781359;-0.3836061,-0.7981662,2.6421173;-0.3798571,-0.8543804,2.6092799;-0.3409411,0.1814484,2.6539261;-0.37578958,-0.4378575,2.6275322;-0.3426328,-0.7926559,2.6750517;-0.3780446,-0.848205,2.6291487;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1071;-0.4081891,0.24555542,2.6710236;-0.40412763,0.31032568,2.7327034;-0.40100053,0.698794,2.7439165;-0.38141423,0.88528055,2.74753;-0.5580923,0.5618005,2.7093158;-0.6420376,0.36442444,2.6604102;-0.64331764,0.50354236,2.496317;-0.63117445,0.5411975,2.4850745;-0.24099238,0.5791223,2.6949985;-0.18560007,0.34447426,2.620275;-0.30722505,0.5344821,2.445216;-0.30792058,0.5743357,2.4533827;-0.48302516,0.17115244,2.6647735;-0.4403194,-0.40743724,2.6784027;-0.38438854,-0.79596066,2.6432738;-0.3779609,-0.85197634,2.612417;-0.34088394,0.18086405,2.6534965;-0.3760867,-0.4370245,2.6285396;-0.3421418,-0.79217345,2.6762218;-0.37795272,-0.8473143,2.6301303;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1101;-0.4085132,0.24567108,2.671173;-0.40442038,0.31054255,2.7327967;-0.40164012,0.69925237,2.7437248;-0.3820817,0.88550705,2.7465065;-0.5589988,0.56166434,2.7094846;-0.6400048,0.36273125,2.659163;-0.6471793,0.44722888,2.4640436;-0.6293011,0.4968562,2.4379487;-0.2395635,0.5785892,2.694766;-0.18623176,0.3442077,2.6150215;-0.31816497,0.5087491,2.419065;-0.32183015,0.54903525,2.4155848;-0.48372072,0.17096601,2.6657655;-0.43918738,-0.40669465,2.6783454;-0.38463628,-0.7945437,2.6437352;-0.3824603,-0.83049726,2.5844007;-0.34079263,0.18033381,2.6530838;-0.37407923,-0.43387726,2.6271105;-0.3413143,-0.7912671,2.6753364;-0.37785846,-0.84663445,2.6305068;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1133;-0.4087929,0.24576609,2.6713214;-0.40467045,0.3107235,2.7328982;-0.40200981,0.6997206,2.7437122;-0.38254756,0.8856862,2.7456882;-0.5601188,0.5627627,2.7101088;-0.6376097,0.3617382,2.6579568;-0.6469463,0.39160275,2.4362273;-0.63421357,0.43898803,2.3848298;-0.23863177,0.57828087,2.6948922;-0.18641952,0.34413782,2.6117764;-0.30405343,0.4513248,2.4057896;-0.3346532,0.51293874,2.3696566;-0.48437196,0.17079729,2.6669059;-0.43768978,-0.40659267,2.6778853;-0.3843036,-0.7933333,2.6429749;-0.37144125,-0.831961,2.58631;-0.3407061,0.17982858,2.6526263;-0.36825472,-0.43183687,2.6209714;-0.3398311,-0.7879072,2.6678302;-0.3583384,-0.8454347,2.6245286;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1169;-0.40899804,0.24575326,2.6714728;-0.40485516,0.3108103,2.7330008;-0.40210757,0.7001829,2.7438323;-0.38290143,0.88580334,2.7450137;-0.5609081,0.5639783,2.710602;-0.6315419,0.35988617,2.6563928;-0.64698404,0.3513196,2.3860223;-0.6401162,0.37787986,2.3440776;-0.23813184,0.5780932,2.695512;-0.18660714,0.34454226,2.6099408;-0.2968395,0.40762082,2.3842492;-0.3336226,0.47447404,2.3365297;-0.48487023,0.17048167,2.6681802;-0.43668538,-0.40715107,2.6775534;-0.38285777,-0.7929407,2.6402006;-0.3633979,-0.8369206,2.586881;-0.34048763,0.17899658,2.6518903;-0.35787648,-0.43044242,2.6059096;-0.33716154,-0.78951955,2.656455;-0.33819172,-0.84838253,2.5962656;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1201;-0.40911263,0.2456649,2.671656;-0.40499285,0.31084546,2.7331254;-0.40166315,0.70073354,2.7441652;-0.3831298,0.8858985,2.74449;-0.561187,0.5651282,2.7108274;-0.6233946,0.35737062,2.6550195;-0.64196,0.34406066,2.3863928;-0.6418352,0.35029793,2.3285606;-0.23798354,0.5781758,2.6973515;-0.18681793,0.3469704,2.6102455;-0.29380563,0.3814376,2.3657267;-0.320953,0.4122874,2.3146348;-0.4849228,0.16986658,2.67031;-0.4340554,-0.41023368,2.6742587;-0.37935835,-0.7928647,2.6313791;-0.35495102,-0.84197176,2.5847785;-0.3400262,0.17790918,2.6507273;-0.33030772,-0.41226447,2.5612316;-0.32803127,-0.78590244,2.60365;-0.32132277,-0.82853276,2.5270224;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1233;-0.40881342,0.24606922,2.6720207;-0.40499705,0.31116745,2.7333946;-0.4010709,0.70125824,2.744622;-0.38327774,0.88599515,2.7441044;-0.561139,0.5662586,2.7108295;-0.6172665,0.35608688,2.654661;-0.6363575,0.33823442,2.3871577;-0.64047015,0.34252128,2.3303382;-0.2387322,0.57940114,2.7011297;-0.1882678,0.35768992,2.6267061;-0.29209244,0.369204,2.358162;-0.32001057,0.394124,2.301788;-0.4818966,0.17258641,2.6707582;-0.42288828,-0.42855066,2.6605146;-0.37444356,-0.7943251,2.6179852;-0.35907146,-0.83460104,2.5458708;-0.3393302,0.1785602,2.6507728;-0.31489226,-0.40506276,2.5325696;-0.3188976,-0.7866633,2.5571709;-0.30266264,-0.8328202,2.4972997;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
